climbing_session_id,member_id,scan_in_datetime,scan_out_datetime
1,1,2024/05/16 22:24:04,2024/05/17 3:12:04
2,3,2024/05/31 8:14:56,2024/05/31 13:02:56
3,4,2024/05/19 4:55:38,2024/05/19 7:19:38
4,5,2024/05/19 4:08:16,2024/05/19 6:32:16
5,43,2024/01/10 2:25:02,2024/01/10 4:49:02
6,4,2024/09/07 21:55:56,2024/09/08 0:19:56
7,22,2024/01/21 12:44:12,2024/01/21 15:08:12
8,2,2024/03/19 16:02:02,2024/03/19 20:50:02
9,5,2024/08/25 2:57:47,2024/08/25 7:45:47
10,43,2023/12/30 15:25:37,2023/12/30 17:49:37
11,5,2024/08/03 17:41:16,2024/08/03 22:29:16
12,5,2024/12/05 4:38:34,2024/12/05 7:02:34
13,9,2024/03/18 1:24:55,2024/03/18 6:12:55
14,6,2024/03/24 6:52:11,2024/03/24 11:40:11
15,43,2024/10/13 0:09:25,2024/10/13 4:57:25
16,29,2024/10/04 2:34:43,2024/10/04 7:22:43
17,34,2024/11/03 11:46:50,2024/11/03 16:34:50
18,43,2024/02/29 9:08:40,2024/02/29 11:32:40
19,3,2024/03/12 15:22:38,2024/03/12 17:46:38
20,23,2024/05/11 16:24:01,2024/05/11 21:12:01
21,41,2024/03/21 23:45:17,2024/03/22 4:33:17
22,12,2024/04/23 21:44:31,2024/04/24 2:32:31
23,14,2024/04/03 20:48:32,2024/04/03 23:12:32
24,15,2024/10/26 13:44:59,2024/10/26 16:08:59
25,13,2024/05/27 13:58:59,2024/05/27 16:22:59
26,14,2024/02/13 18:26:22,2024/02/13 20:50:22
27,34,2024/07/27 10:23:00,2024/07/27 15:11:00
28,3,2024/08/15 22:52:07,2024/08/16 3:40:07
29,23,2024/05/05 7:37:32,2024/05/05 10:01:32
30,36,2024/09/22 6:09:33,2024/09/22 8:33:33
31,7,2023/12/29 23:05:08,2023/12/30 1:29:08
32,17,2024/03/10 14:28:31,2024/03/10 16:52:31
33,34,2024/11/22 16:26:29,2024/11/22 18:50:29
34,46,2024/12/20 12:06:22,2024/12/20 14:30:22
35,9,2024/09/06 2:40:10,2024/09/06 5:04:10
36,17,2024/11/23 12:23:39,2024/11/23 14:47:39
37,13,2024/01/20 16:37:08,2024/01/20 19:01:08
38,9,2024/07/06 5:12:43,2024/07/06 10:00:43
39,28,2024/06/10 23:16:39,2024/06/11 1:40:39
40,41,2024/01/09 9:36:12,2024/01/09 12:00:12
41,49,2024/04/13 7:47:24,2024/04/13 10:11:24
42,5,2024/03/11 15:50:56,2024/03/11 20:38:56
43,34,2024/01/08 18:03:59,2024/01/08 20:27:59
44,38,2024/03/02 18:38:59,2024/03/02 21:02:59
45,4,2024/01/03 16:59:55,2024/01/03 21:47:55
46,8,2024/04/19 3:52:59,2024/04/19 8:40:59
47,35,2024/08/26 22:37:18,2024/08/27 3:25:18
48,21,2024/07/10 16:41:57,2024/07/10 21:29:57
49,36,2024/01/02 11:26:54,2024/01/02 16:14:54
50,30,2024/09/12 11:18:09,2024/09/12 16:06:09
51,25,2024/06/05 14:18:18,2024/06/05 19:06:18
52,5,2024/02/02 14:52:10,2024/02/02 19:40:10
53,29,2024/08/08 12:08:21,2024/08/08 16:56:21
54,16,2024/10/21 19:37:35,2024/10/22 0:25:35
55,34,2024/06/11 2:15:32,2024/06/11 7:03:32
56,42,2024/02/18 9:07:25,2024/02/18 11:31:25
57,21,2024/09/09 12:32:51,2024/09/09 14:56:51
58,37,2024/11/03 8:51:12,2024/11/03 11:15:12
